"","Company.Name","Category.Groups","Headquarters.Location","Status","Closed.Date","Founded.Date","Number.of.Articles","Categories","Number.of.Employees","Number.of.Founders","Number.of.Funding.Rounds","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Type","Last.Equity.Funding.Amount","Total.Equity.Funding.Amount","Total.Funding.Amount","Number.of.Investors","Number.of.Lead.Investors","Stock.Exchange","Stock.Symbol","Valuation.at.IPO","Money.Raised.at.IPO","IPO.Date","foundyear"
"1074","Cityfurnish","Commerce and Shopping, Real Estate, Consumer Goods","Gurgaon, Haryana, India","Operating","","2015-09-24",7,"Rental, Furniture, Home Renovation","11-50",1,2,"2016-07-12",0,"Seed",0,0,0,2,1,"","","","","",3
"1077","Crowdonomic Media","Financial Services","Singapore, Central Region, Singapore","Operating","","2012-01-01",3,"Finance, FinTech","11-50",2,2,"2013-12-01",0,"Funding Round",0,0,0,NA,NA,"","","","","",0
"1089","CureApp","Health Care","Tokyo, Tokyo, Japan","Operating","","2014-07-31",NA,"Health Care","",2,2,"2017-02-08",0,"Series Unknown",0,4221714,4221714,3,1,"","","","","",2
"1091","Credit Engine","","Higashi-shinagawa, Tokyo, Japan","Operating","","2016-07-11",NA,"","",0,2,"2017-02-01",0,"Seed",0,1560863,1560863,6,2,"","","","","",4
"1098","Cult","Sports","Bengaluru, Karnataka, India","Operating","","2015-01-01",NA,"Fitness","",1,2,"2016-08-24",0,"Series Unknown",0,2979342,2979342,2,1,"","","","","",3
"1155","CLUE, Inc.","Science and Engineering, Hardware, Consumer Electronics, Software, Consumer Goods","Tokyo, Tokyo, Japan","Operating","","2014-08-22",NA,"Aerospace, Enterprise Software, Robotics, Drones","1-10",1,2,"2016-04-01",0,"Series A",0,0,0,3,0,"","","","","",2
"1181","Civitfun","Apps, Travel and Tourism, Software, Mobile","Santa Cruz De Tenerife, Canarias, Spain","Operating","","2014-10-22",2,"Tourism, SaaS, Mobile Apps, Hospitality","1-10",2,2,"2015-01-21",0,"Seed",0,0,0,2,0,"","","","","",2
"1542","Dalia Research","Data and Analytics, Design, Mobile","Berlin, Berlin, Germany","Operating","","2013-10-01",7,"Mobile, Market Research, SaaS","11-50",3,2,"2017-01-26",7e+06,"Series A",7e+06,7e+06,7e+06,5,1,"","","","","",1
"1552","Dashu Finance","Internet Services, Financial Services","Shenzhen, Guangdong, China","Operating","","2014-01-01",NA,"Internet, FinTech, Finance","",0,2,"2015-12-14",7.7e+07,"Series B",7.7e+07,9.3e+07,9.3e+07,2,2,"","","","","",2
"1554","Discors, Inc.","Apps, Commerce and Shopping, Media and Entertainment, Software, Content and Publishing, Mobile","Menlo Park, California, United States","Operating","","2014-10-01",1,"E-Commerce, News, Apps, Software, Mobile","11-50",2,2,"2016-07-14",1200000,"Seed",1200000,1250000,1250000,1,0,"","","","","",2
"1557","Darenta","Travel and Tourism, Transportation","Moscow, Moscow City, Russian Federation","Operating","","2014-05-31",7,"Travel, Automotive, Transportation, Collaborative Consumption","1-10",1,2,"2016-05-27",15000,"Seed",15000,25000,25000,1,0,"","","","","",2
"1560","Digital H2O","Natural Resources, Energy, Data and Analytics, Software","Chicago, Illinois, United States","Operating","","2013-01-01",4,"Analytics, Software, Big Data, Enterprise Software, Energy, Water, Oil and Gas","11-50",3,2,"2015-03-09",0,"Convertible Note",0,1275000,1275000,2,0,"","","","","",1
"1561","DayBox","Food and Beverage","New Delhi, Delhi, India","Operating","","2016-01-01",1,"Food and Beverage","11-50",1,2,"2016-09-01",5e+05,"Seed",5e+05,604000,604000,4,0,"","","","","",4
"1570","DealCircle","Information Technology, Software, Financial Services","Denmark, Europe","Operating","","2013-11-01",6,"Finance, Document Management","1-10",2,2,"2014-03-03",750000,"Series Unknown",750000,769890,769890,7,0,"","","","","",1
"1574","Differential","Software, Design","Cincinnati, Ohio, United States","Operating","","2013-03-01",4,"Consulting, Enterprise Software, UX Design","1-10",3,2,"2015-05-28",385000,"Seed",385000,555000,555000,NA,NA,"","","","","",1
"1578","DRAMA & COMPANY","Mobile","Seoul, Seoul-t'ukpyolsi, South Korea","Operating","","2013-06-01",NA,"Mobile","11-50",1,2,"2014-11-28",0,"Series A",0,2099377,2099377,3,0,"","","","","",1
"1627","Dash Electric","Hardware, Consumer Electronics, Transportation","Boston, Massachusetts, United States","Operating","","2013-01-01",NA,"Electronics, Transportation, Electric Vehicle","",1,2,"2015-12-01",0,"Series Unknown",0,0,0,2,1,"","","","","",1
"1656","DeRev","Media and Entertainment, Internet Services, Financial Services","Napoli, Campania, Italy","Operating","","2012-08-03",NA,"Digital Media, Social Media, Crowdsourcing, Crowdfunding","11-50",1,2,"2014-03-20",0,"Series B",0,1533460,1533460,6,3,"","","","","",0
"1664","Dream Learners","Apps, Media and Entertainment, Software, Education","London, England, United Kingdom","Operating","","2012-01-01",2,"Apps, Content, Education","1-10",2,2,"2015-05-01",0,"Seed",0,235754,235754,1,0,"","","","","",0
"1694","Digiteal","","Mont-saint-guibert, Brabant Wallon, Belgium","Operating","","2015-05-18",NA,"","",1,2,"2016-12-29",0,"Seed",0,651997,1221828,NA,NA,"","","","","",3
"1832","ElasticRun","Administrative Services, Transportation","","Operating","","2015-01-01",NA,"Delivery, Transportation, Logistics","",3,2,"2017-04-04",7e+06,"Series A",7e+06,9e+06,9e+06,2,2,"","","","","",3
"1833","Echo","Biotechnology, Science and Engineering","San Diego, California, United States","Operating","","2013-01-01",NA,"Biotechnology","11-50",0,2,"2017-03-30",7500000,"Series A",7500000,9500000,9500000,4,4,"","","","","",1
"1834","Emotech LTD","Science and Engineering, Hardware, Data and Analytics, Software","London, England, United Kingdom","Operating","","2014-08-28",2,"Artificial Intelligence, Hardware, Robotics","11-50",3,2,"2016-08-09",1e+07,"Series A",1e+07,1e+07,1e+07,2,1,"","","","","",2
"1840","eduK","Software, Education","SÃ£o Paulo, Sao Paulo, Brazil","Operating","","2013-01-01",NA,"Education, EdTech","101-250",2,2,"2015-05-12",1e+07,"Series B",1e+07,1e+07,1e+07,6,2,"","","","","",1
"1860","Everytap","Software, Sales and Marketing, Payments, Financial Services, Mobile","Gdansk, Pomorskie, Poland","Operating","","2014-03-01",NA,"Loyalty Programs, Mobile Payments, Mobile","1-10",5,2,"2015-09-01",650000,"Seed",650000,780000,780000,NA,NA,"","","","","",2
"1865","Etece","Internet Services","Madrid, Madrid, Spain","Operating","","2012-11-01",8,"Internet","11-50",1,2,"2013-05-29",0,"Series A",0,1227720,1227720,6,0,"","","","","",0
"1872","eshtery","Hardware, Commerce and Shopping, Information Technology, Data and Analytics, Software, Education, Design, Mobile","Cairo, Al Qahirah, Egypt","Operating","","2012-02-01",NA,"QR Codes, E-Commerce, Language Learning, Mobile, Shopping, Data Visualization, NFC","11-50",3,2,"2012-07-17",225000,"Seed",225000,237000,237000,2,0,"","","","","",0
"1907","EpicTopic","Media and Entertainment, Internet Services","","Operating","","2013-01-01",NA,"Content, Social Media","1-10",3,2,"2014-08-01",0,"Angel",0,30000,30000,NA,NA,"","","","","",1
"2120","Freenome","Biotechnology, Science and Engineering, Health Care","South San Francisco, California, United States","Operating","","2015-01-01",1,"Personal Health, Health Diagnostics, Health Care, Biotechnology","11-50",3,2,"2017-03-01",6.5e+07,"Series A",6.5e+07,70550000,70550000,13,1,"","","","","",3
"2121","Fetch Robotics","Manufacturing, Science and Engineering, Hardware, Software","San Jose, California, United States","Operating","","2014-01-01",30,"Industrial Automation, Industrial, Robotics","",1,2,"2015-06-17",2e+07,"Series A",2e+07,2.3e+07,2.3e+07,6,6,"","","","","",2
"2128","Frank & Oak","Commerce and Shopping, Design","MontrÃ©al, Quebec, Canada","Operating","","2012-02-01",25,"Fashion, Shopping, Retail","51-100",2,2,"2014-09-04",1.5e+07,"Series B",1.5e+07,2e+07,2e+07,12,4,"","","","","",0
"2131","Frisbee","Media and Entertainment, Internet Services, Video, Content and Publishing","San Mateo, California, United States","Operating","","2016-04-01",1,"Social Media, Video, Video Streaming","1-10",3,2,"2017-03-02",120000,"Seed",120000,1170000,1170000,8,0,"","","","","",4
"2134","FinAccel","Financial Services, Lending and Investments","Jakarta, Jakarta Raya, Indonesia","Operating","","2015-01-01",NA,"Consumer Lending, Finance, Financial Services","11-50",3,2,"2016-06-01",1100000,"Seed",1100000,1100000,1100000,9,2,"","","","","",3
"2136","Fisdom","Information Technology, Financial Services","Bangalore, Karnataka, India","Operating","","2015-01-01",NA,"FinTech, Financial Services, Information Technology","11-50",4,2,"2016-10-19",1100000,"Seed",1100000,1600000,1600000,4,1,"","","","","",3
"2149","Fangoo","Commerce and Shopping, Transportation, Internet Services","Santo Domingo City, Distrito Nacional, Dominican Republic","Operating","","2016-02-15",NA,"Same Day Delivery, E-Commerce, Marketplace, Internet","11-50",2,2,"2017-01-14",6000,"Grant",0,0,16000,NA,NA,"","","","","",4
"2150","Froont","Software, Internet Services, Design","Riga, Riga, Latvia","Operating","","2012-01-01",8,"Web Design, Software, Internet","1-10",2,2,"2014-04-01",0,"Seed",0,822028,822028,4,0,"","","","","",0
"2154","FSLogix","Hardware, Information Technology, Software","Suwanee, Georgia, United States","Operating","","2013-01-01",1,"Virtualization, Virtual Desktop, Enterprise Software","11-50",3,2,"2015-01-12",1100000,"Series Unknown",1100000,1775000,1775000,2,1,"","","","","",1
"2161","Fluid-Screen","Science and Engineering, Data and Analytics, Health Care","Cambridge, Massachusetts, United States","Operating","","2013-01-01",NA,"Test and Measurement, Nanotechnology, Health Diagnostics","1-10",1,2,"2015-10-17",0,"Non-equity Assistance",0,0,50000,2,1,"","","","","",1
"2164","Foodini","Travel and Tourism","Chicago, Illinois, United States","Operating","","2012-01-01",1,"Hospitality","1-10",2,2,"2013-12-03",2e+05,"Seed",2e+05,2e+05,2e+05,2,0,"","","","","",0
"2170","FUELUP","Information Technology","Amsterdam, Noord-Holland, The Netherlands","Operating","","2012-01-01",NA,"Information Services","",3,2,"2013-09-01",505000,"Seed",505000,524802,524802,2,0,"","","","","",0
"2186","Fashwell AG","Commerce and Shopping, Data and Analytics, Software, Internet Services","ZÃ¼rich, Zurich, Switzerland","Operating","","2014-09-30",NA,"E-Commerce, Shopping, Machine Learning, Visual Search","1-10",1,2,"2015-06-26",0,"Seed",0,1070404,1070404,1,0,"","","","","",2
"2188","FRM Study Course","Education","New York, New York, United States","Operating","","2013-06-01",1,"Risk Management, Education, Training","",1,2,"2015-03-08",0,"Seed",0,50000,50000,1,0,"","","","","",1
"2189","Forkforce","Travel and Tourism, Food and Beverage, Professional Services","Madison, Wisconsin, United States","Closed","","2013-06-01",4,"Employment, Hospitality, Restaurants, Food and Beverage","1-10",2,2,"2014-05-20",250000,"Seed",250000,350000,350000,1,0,"","","","","",1
"2191","Findmework Limited","Administrative Services, Professional Services","London, England, United Kingdom","Operating","","2014-11-14",NA,"Employment, Staffing Agency, Recruiting","",1,2,"2013-12-01",20000,"Seed",20000,50000,50000,1,0,"","","","","",2
"2198","Friendz","Apps, Software, Sales and Marketing, Advertising","Malnate, Lombardia, Italy","Operating","","2015-07-28",NA,"Social Media Marketing, Apps, Advertising","1-10",4,2,"2016-07-20",0,"Seed",0,397421,397421,1,0,"","","","","",3
"2200","Ferus Bestia","Information Technology, Software, Internet Services, Privacy and Security, Mobile","Helsinki, Southern Finland, Finland","Operating","","2012-09-18",NA,"Cyber Security, SaaS, Security, Mobile, Cloud Data Services, Cloud Computing, Enterprise Software","11-50",0,2,"2014-02-09",0,"Seed",0,130409,130409,NA,NA,"","","","","",0
"2262","Fluid Education","Information Technology, Software, Education","Sydney, New South Wales, Australia","Operating","","2015-07-24",4,"Education, Software, Scheduling","1-10",1,2,"2015-12-07",40000,"Seed",40000,29272,33108,3,0,"","","","","",3
"2416","Gimlet Media","Media and Entertainment, Content and Publishing","New York, New York, United States","Operating","","2014-01-01",63,"News, Media and Entertainment, Digital Media","11-50",2,2,"2015-12-07",6e+06,"Series A",6e+06,7500000,7500000,11,1,"","","","","",2
"2421","GoZefo","Hardware, Consumer Electronics, Software, Consumer Goods","Bangalore, Karnataka, India","Operating","","2015-01-01",NA,"Furniture, Software, Computer","11-50",3,2,"2016-11-15",0,"Series A",0,6970486,6970486,3,2,"","","","","",3
"2422","Grow","Data and Analytics, Software, Financial Services","Vancouver, British Columbia, Canada","Operating","","2014-01-01",20,"Financial Services, Big Data, FinTech, Enterprise Software","11-50",1,2,"2015-08-18",10200000,"Series A",10200000,10200000,10200000,2,1,"","","","","",2
"2426","GENIAC","Professional Services, Financial Services","London, England, United Kingdom","Operating","","2014-01-01",6,"Small and Medium Businesses, Accounting, Human Resources, Legal","11-50",2,2,"2015-07-02",0,"Series A",0,36060811,36060811,1,1,"","","","","",2
"2432","Gamgee","Apps, Software, Health Care","Palo Alto, California, United States","Operating","","2012-01-01",NA,"Apps, Medical Device, Health Care","11-50",0,2,"2014-11-25",3999999,"Series B",3999999,5999999,5999999,1,0,"","","","","",0
"2434","GetSet","Software, Education","Chicago, Illinois, United States","Operating","","2012-01-01",5,"EdTech, Education","11-50",1,2,"2014-09-02",2500000,"Seed",2500000,2500000,2500000,7,2,"","","","","",0
"2436","Green City Solutions","Biotechnology, Science and Engineering, Sustainability, Real Estate, Internet Services","Berlin, Berlin, Germany","Operating","","2014-03-25",3,"Biotechnology, Architecture, CleanTech, Internet of Things, Sustainability","11-50",4,2,"2017-01-30",0,"Funding Round",0,25000,25000,4,0,"","","","","",2
"2443","Getunity","Financial Services","New York, New York, United States","Operating","","2015-01-01",NA,"FinTech, Charity","11-50",1,2,"2016-01-18",150000,"Angel",150000,650000,650000,1,0,"","","","","",3
"2445","Gaatu","Commerce and Shopping, Software, Transportation","San Jose, California, United States","Operating","","2013-01-01",NA,"E-Commerce, Enterprise Software, SaaS, Automotive","1-10",1,2,"2014-07-18",0,"Seed",0,575000,575000,3,0,"","","","","",1
"2451","GOLOD","Travel and Tourism, Food and Beverage, Transportation","Moscow, Moscow City, Russian Federation","Operating","","2016-03-01",13,"Food Delivery, Hospitality, Organic Food, Delivery Service","1-10",2,2,"2017-01-26",0,"Seed",0,50000,50000,1,0,"","","","","",4
"2456","Gotoky - smart Walkie Talkie","Manufacturing","Ljubljana, Ljubljana Urban Commune, Slovenia","Operating","","2015-02-03",1,"Manufacturing","1-10",2,2,"2015-06-30",0,"Seed",0,35513,35513,2,0,"","","","","",3
"2460","Gray Routes Innovative Distribution","Hardware, Commerce and Shopping, Software, Mobile","Mumbai, Maharashtra, India","Operating","","2013-03-01",NA,"Mobile, Retail Technology, E-Commerce","101-250",2,2,"2016-02-08",0,"Seed",0,110000,110000,3,0,"","","","","",1
"2484","Global Online Devices","Hardware, Consumer Electronics, Internet Services","","Operating","","2013-01-01",NA,"Social Network, Internet, Wearables","1-10",2,2,"2013-09-18",125000,"Angel",125000,175000,175000,12,0,"","","","","",1
"2491","GoodBuyAuto","Transportation","Milano, Lombardia, Italy","Operating","","2015-01-01",7,"Automotive","11-50",3,2,"2016-11-23",0,"Angel",0,2707238,2707238,3,0,"","","","","",3
"2504","Gismo Therapeutics","Health Care","Lexington, Kentucky, United States","Operating","","2013-01-01",NA,"Therapeutics, Medical, Health Care","1-10",0,2,"2014-12-03",235000,"Grant",0,0,235000,NA,NA,"","","","","",1
"2705","Helijia","Manufacturing, Apps, Software, Consumer Goods","China, Asia","Operating","","2013-01-01",2,"Manufacturing, Beauty, Apps","",1,2,"2015-02-18",5e+07,"Series C",5e+07,5.5e+07,5.5e+07,6,3,"","","","","",1
"2708","HEXO+","Science and Engineering, Hardware, Media and Entertainment, Software, Video","San Francisco, California, United States","Operating","","2014-03-12",14,"Hardware, Video, Robotics","",6,2,"2015-06-23",3e+06,"Seed",3e+06,4300000,4300000,1,0,"","","","","",2
"2711","Hiddier","Science and Engineering","","Operating","","2012-01-08",NA,"Aerospace","",2,2,"2012-11-04",1.2e+07,"Series Unknown",1.2e+07,14200000,14200000,7,0,"","","","","",0
"2716","Hydration Labs","Natural Resources, Sustainability, Financial Services, Lending and Investments","Somerville, Massachusetts, United States","Operating","","2013-01-01",1,"CleanTech, Water, Incubators","",1,2,"2015-12-01",6246962,"Series Unknown",6246962,7811889,7811889,NA,NA,"","","","","",1
"2735","Hyperion Labs Sdn. Bhd.","Hardware, Commerce and Shopping, Navigation and Mapping, Data and Analytics, Community and Lifestyle, Software, Sales and Marketing, Internet Services, Advertising","Kuala Lumpur, Kuala Lumpur, Malaysia","Operating","","2014-12-01",1,"Loyalty Programs, Location Based Services, B2B, App Marketing, Mobile Advertising, Lifestyle, Retail Technology, Shopping","11-50",1,2,"2015-09-01",125000,"Seed",125000,250000,250000,NA,NA,"","","","","",2
"2753","Hacarus","Apps, Science and Engineering, Data and Analytics, Software, Sports, Health Care, Mobile","Kyoto, Kyoto, Japan","Operating","","2014-01-14",NA,"Fitness, Mobile Apps, Machine Learning, Health Care, Artificial Intelligence","1-10",1,2,"2016-10-11",0,"Seed",0,0,0,5,0,"","","","","",2
"2760","HearNotes Inc.","Hardware, Information Technology, Consumer Electronics","San Francisco, California, United States","Operating","","2014-01-07",23,"Information Technology, Information Services, Consumer Electronics","1-10",1,2,"2015-01-07",0,"Convertible Note",0,0,0,NA,NA,"","","","","",2
"2920","Igneous Systems","Hardware, Data and Analytics, Software, Internet Services","Seattle, Washington, United States","Operating","","2013-10-01",13,"Cloud Computing, Cloud Infrastructure, Big Data","11-50",1,2,"2014-05-06",23600000,"Series A",23600000,26600000,26600000,4,0,"","","","","",1
"2923","IOT Pot India Private Limited","Food and Beverage, Data and Analytics, Software, Internet Services","Bangalore, Karnataka, India","Operating","","2016-05-11",3,"Internet of Things, Machine Learning, Food and Beverage","1-10",2,2,"2017-04-01",0,"Angel",0,2e+05,2e+05,10,0,"","","","","",4
"2927","Icebrg","Information Technology, Software, Privacy and Security","Seattle, Washington, United States","Operating","","2014-01-01",NA,"Security, Network Security, Developer Platform","11-50",2,2,"2016-03-29",1e+07,"Series A",1e+07,12500000,12500000,6,5,"","","","","",2
"2941","Inova Drone","Science and Engineering, Hardware, Consumer Electronics, Software, Consumer Goods","San Diego, California, United States","Operating","","2014-01-01",1,"Aerospace, Drones, Robotics","11-50",3,2,"2015-06-05",120000,"Seed",120000,120000,120000,3,0,"","","","","",2
"2945","i.me","Payments, Privacy and Security, Financial Services, Lending and Investments","Scottsdale, Arizona, United States","Operating","","2012-09-15",NA,"Finance, Fraud Detection, Credit","11-50",1,2,"2015-04-23",2500000,"Seed",2500000,6500000,6500000,NA,NA,"","","","","",0
"2958","Innov8 Coworking","Community and Lifestyle, Government and Military","New Delhi, Delhi, India","Operating","","2015-10-25",1,"Communities, Collaboration, Government","11-50",3,2,"2017-02-15",0,"Angel",0,0,0,13,2,"","","","","",3
"2960","infotope technologies GmbH","Hardware, Software, Privacy and Security","Vienna, Wien, Austria","Operating","","2014-07-20",NA,"Telecommunications, Security, Developer Tools","1-10",0,2,"2015-02-26",0,"Angel",0,1169655,1169655,NA,NA,"","","","","",2
"2994","IRYSTEC","Hardware, Consumer Electronics, Software, Consumer Goods","MontrÃ©al, Quebec, Canada","Operating","","2015-01-01",NA,"Consumer Goods, Consumer Electronics, Enterprise Software","1-10",0,2,"2016-09-19",0,"Series A",0,314852,314852,3,1,"","","","","",3
"3123","Imagine Careers","Information Technology","Pittsburgh, Pennsylvania, United States","Operating","","2014-05-01",NA,"Information Technology","1-10",1,2,"2016-04-15",0,"Seed",0,0,0,2,0,"","","","","",2
"3267","JstJobs","Professional Services, Internet Services","Mumbai, Maharashtra, India","Operating","","2014-04-11",NA,"Employment, Search Engine","11-50",1,2,"2015-03-31",5e+05,"Seed",5e+05,7e+05,7e+05,NA,NA,"","","","","",2
"3344","Katerra","Transportation","Scottsdale, Arizona, United States","Operating","","2015-01-01",NA,"Procurement, Logistics, Supply Chain Management","11-50",1,2,"2017-04-13",1.3e+08,"Series C",1.3e+08,205573028,205573028,6,1,"","","","","",3
"3347","Komprise","Hardware, Information Technology, Software, Internet Services","Campbell, California, United States","Operating","","2014-01-02",9,"SaaS, Software, Cloud Data Services, Data Storage","51-100",2,2,"2017-02-14",1.2e+07,"Series B",1.2e+07,1.8e+07,1.8e+07,4,2,"","","","","",2
"3348","KeepTruckin","Transportation","San Francisco, California, United States","Operating","","2013-01-01",6,"SaaS, Logistics, Fleet Management, Public Transportation","11-50",3,2,"2015-10-29",8e+06,"Series A",8e+06,10300000,10300000,6,1,"","","","","",1
"3354","Krablr","Agriculture and Farming, Apps, Commerce and Shopping, Software, Mobile","Powell, Ohio, United States","Operating","","2013-01-01",1,"Price Comparison, Mobile Apps, Farming","1-10",2,2,"2014-04-01",5e+06,"Series A",5e+06,8e+06,8e+06,5,1,"","","","","",1
"3357","Koto Labs","Hardware, Consumer Electronics, Software, Health Care, Internet Services","Ljubljana, Ljubljana Urban Commune, Slovenia","Operating","","2013-01-01",28,"Hardware, Health Care, Internet of Things, Software, Consumer Electronics","1-10",2,2,"2015-09-28",17000,"Product Crowdfunding",17000,717000,717000,3,0,"","","","","",1
"3360","Kurio","Apps, Media and Entertainment, Software, Sales and Marketing, Content and Publishing, Mobile, Advertising","Dki Jakarta, Jakarta Raya, Indonesia","Operating","","2014-01-06",4,"Mobile, Content Syndication, Apps, News, Mobile Advertising","11-50",1,2,"2016-03-15",5e+06,"Series B",5e+06,6e+06,6e+06,2,1,"","","","","",2
"3368","KiviHealth","Commerce and Shopping, Information Technology, Health Care, Internet Services","","Operating","","2015-01-01",NA,"Health Care, Search Engine, E-Commerce, Information Technology","1-10",2,2,"2016-04-07",1e+05,"Angel",1e+05,130000,130000,3,2,"","","","","",3
"3369","Kien","Hardware, Media and Entertainment, Consumer Electronics, Music and Audio, Internet Services","Delft, Zuid-Holland, The Netherlands","Operating","","2014-10-17",NA,"Audio, Consumer Electronics, Music Streaming","1-10",1,2,"2016-12-21",0,"Seed",0,1005103,1005103,NA,NA,"","","","","",2
"3394","KITE Solutions","Apps, Software, Sales and Marketing, Mobile, Advertising","San Francisco, California, United States","Operating","","2013-01-01",NA,"Enterprise Software, Mobile, Advertising, Apps, Brand Marketing","11-50",1,2,"2016-03-01",0,"Seed",0,0,0,4,0,"","","","","",1
"3521","Legends of Learning","","Washington, District of Columbia, United States","Operating","","2016-01-01",2,"","11-50",4,2,"2017-04-20",9e+06,"Seed",9e+06,9e+06,9e+06,1,0,"","","","","",4
"3526","Lifesum","Platforms, Media and Entertainment, Software, Sports, Health Care, Internet Services, Mobile","Stockholm, Stockholms Lan, Sweden","Operating","","2013-05-01",32,"Personal Health, Android, Health Care, Internet, iOS, Fitness, Social Media","11-50",4,2,"2016-07-18",1e+07,"Series B",1e+07,16700000,16700000,6,4,"","","","","",1
"3536","LeCab","Apps, Software, Transportation, Mobile","Paris, Ile-de-France, France","Operating","","2012-12-01",15,"Mobile Apps, Transportation, Automotive, Public Transportation","51-100",1,2,"2013-11-14",6800000,"Series B",6800000,10880030,10880030,1,0,"","","","","",0
"3543","ListReports","Real Estate, Sales and Marketing","Orange, California, United States","Operating","","2015-02-02",NA,"Property Management, Marketing, Real Estate","1-10",0,2,"2017-03-15",282000,"Debt Financing",0,0,905000,1,1,"","","","","",3
"3565","LoudCell Technologies","Software","Santa Clara, California, United States","Operating","","2012-01-01",NA,"Software","11-50",1,2,"2016-01-31",220588,"Series Unknown",220588,1220588,1220588,4,0,"","","","","",0
"3570","Letibee","Apps, Media and Entertainment, Information Technology, Software","Tokyo, Tokyo, Japan","Operating","","2014-04-22",3,"LGBT, Apps, Digital Media, Consulting, Information Technology","1-10",1,2,"2015-08-31",1e+07,"Series Unknown",1e+07,2e+07,2e+07,1,0,"","","","","",2
"3577","Luxanova","Software","Concord, Massachusetts, United States","Operating","","2012-03-14",NA,"Software, Enterprise Software","11-50",0,2,"2012-07-01",62500,"Series A",62500,112500,112500,2,0,"","","","","",0
"3592","Looking Glass","Science and Engineering, Hardware, Media and Entertainment, Software, Video, Design","Brooklyn, New York, United States","Operating","","2014-01-01",NA,"Human Computer Interaction, Video, Digital Media, Augmented Reality, 3D Technology","11-50",3,2,"2017-02-11",0,"Series A",0,0,0,7,2,"","","","","",2
"3594","LiveTube","Media and Entertainment, Video, Content and Publishing, Mobile","City Of London, England, United Kingdom","Operating","","2015-06-06",NA,"Video Streaming, Digital Media, Mobile, Content, Broadcasting, Content Delivery Network, Content Creators","1-10",2,2,"2017-04-01",0,"Angel",0,0,0,NA,NA,"","","","","",3
"3603","Lingoda","Software, Education","Berlin, Berlin, Germany","Operating","","2013-01-01",1,"E-Learning, Language Learning, Education","51-100",1,2,"2014-03-09",0,"Seed",0,0,0,3,0,"","","","","",1
"3608","Logbar","Information Technology, Software, Internet Services","San Francisco, California, United States","Operating","","2013-02-25",1,"Internet, Cloud Management","11-50",1,2,"2015-03-31",0,"Angel",0,0,0,NA,NA,"","","","","",1
"3612","LawRato.com","Media and Entertainment, Professional Services, Financial Services","New Delhi, Delhi, India","Operating","","2012-01-01",NA,"Financial Services, Legal, Advice","1-10",0,2,"2016-11-16",0,"Seed",0,0,0,2,1,"","","","","",0
"3616","Leezair","Apps, Travel and Tourism, Software, Mobile","Sydney, New South Wales, Australia","Operating","","2014-09-01",NA,"Tourism, Travel, Mobile Apps","11-50",3,2,"2016-07-01",0,"Series Unknown",0,0,0,1,0,"","","","","",2
"3633","Lean Survey","Data and Analytics, Design, Mobile","SÃ£o Paulo, Sao Paulo, Brazil","Operating","","2014-10-23",14,"Mobile, Crowdsourcing, Market Research","11-50",3,2,"2016-07-15",0,"Seed",0,0,0,2,0,"","","","","",2
"3684","Lifestyle Design Co., Ltd.","Science and Engineering, Commerce and Shopping, Data and Analytics, Software, Design","Tokyo, Tokyo, Japan","Operating","","2012-04-06",NA,"Artificial Intelligence, Big Data, Fashion, Personalization, E-Commerce","11-50",1,2,"2015-05-15",0,"Seed",0,838350,838350,3,0,"","","","","",0
"3762","Legal 360 - a brand name of Absolute Legal Cloud Pvt. Ltd.","Professional Services","","Operating","","2015-02-26",NA,"Legal, Product Management, Service Industry","11-50",0,2,"2016-01-01",0,"Seed",0,78942,78942,1,0,"","","","","",3
"3827","Mad Street Den","Science and Engineering, Hardware, Commerce and Shopping, Data and Analytics, Software","Fremont, California, United States","Operating","","2013-08-27",41,"Artificial Intelligence, Software, Retail Technology, Computer Vision","11-50",2,2,"2016-08-31",0,"Series A",0,1500000,1500000,4,1,"","","","","",1
"3831","Moonfrog Labs","Gaming, Mobile","Bangalore, Karnataka, India","Operating","","2017-01-22",24,"Gaming, Video Games, Mobile","51-100",4,2,"2015-03-11",1.5e+07,"Series A",1.5e+07,1.6e+07,1.6e+07,2,1,"","","","","",5
"3834","MyGlamm","Apps, Commerce and Shopping, Software, Consumer Goods, Mobile","Mumbai, Maharashtra, India","Operating","","2015-01-01",2,"Mobile Apps, Marketplace, Beauty","101-250",1,2,"2017-03-21",5300000,"Series Unknown",5300000,11300000,11300000,3,1,"","","","","",3
"3836","Mirador Financial","Information Technology, Financial Services, Lending and Investments","Portland, Oregon, United States","Operating","","2014-01-01",4,"FinTech, Banking, Information Technology, Financial Services","11-50",2,2,"2015-11-30",7e+06,"Series A",7e+06,9700000,9700000,7,1,"","","","","",2
"3837","Momo","Software, Payments, Financial Services, Mobile","Ho Chi Minh City, NA - Vietnam, Vietnam","Operating","","2014-01-01",NA,"Mobile Payments, Finance, FinTech","251-500",0,2,"2016-03-17",2.8e+07,"Series B",2.8e+07,33750000,33750000,2,2,"","","","","",2
"3841","Mimir","Software, Education","West Lafayette, Indiana, United States","Operating","","2014-01-01",2,"E-Learning, EdTech, Education","1-10",3,2,"2016-08-18",750000,"Seed",750000,1500000,1500000,5,0,"","","","","",2
